log_s,log_rs,log_rs_diff,north,south
2.278753601,1.497547187,1.418338073,1.747654409,1.73976908
2.281033367,1.49870228,1.41914052,1.74766292,1.739763889
2.283301229,1.499821602,1.419973516,1.747640896,1.739706779
2.285557309,1.500912703,1.420789983,1.747591717,1.739606485
2.28780173,1.502059597,1.421624669,1.747508387,1.739468547
2.290034611,1.503203366,1.422527035,1.747413376,1.739296295
2.292256071,1.504354555,1.423448791,1.747316675,1.73910443
2.294466226,1.505504302,1.424377763,1.747236005,1.738889801
2.29666519,1.506643034,1.425353176,1.747153137,1.738638951
2.298853076,1.507792571,1.426360533,1.747052869,1.738369497
2.301029996,1.508861584,1.427308977,1.746928454,1.738078517
2.303196057,1.509985167,1.428273915,1.746796071,1.737769315
2.305351369,1.51109349,1.429249507,1.74664386,1.737446533
2.307496038,1.512245613,1.430196451,1.746463544,1.737111303
2.309630167,1.513432567,1.431163943,1.746264915,1.736767839
2.311753861,1.514574593,1.432115974,1.746060142,1.736424767
2.31386722,1.515835998,1.433035364,1.745818673,1.7360613
2.315970345,1.517087225,1.433994567,1.745542603,1.735685662
2.318063335,1.518267048,1.434965599,1.745271072,1.735294971
2.320146286,1.519423099,1.435919901,1.744981915,1.734901782
2.322219295,1.520567724,1.436816399,1.744709119,1.734499707
2.324282455,1.521665284,1.437704551,1.74442838,1.734095123
2.326335861,1.522763949,1.438594347,1.744165448,1.733715745
2.328379603,1.523899418,1.439532846,1.743901044,1.733353677
2.330413773,1.525099861,1.440447232,1.743635965,1.733045499
2.33243846,1.526349964,1.441391658,1.743381016,1.732756266
2.334453751,1.527630792,1.442326412,1.743146456,1.732478378
2.336459734,1.528878816,1.44316591,1.742916427,1.732213961
2.338456494,1.530175419,1.444041888,1.742701564,1.731972681
2.340444115,1.531525604,1.444944902,1.742510991,1.731746044
2.342422681,1.532794567,1.445851317,1.742339805,1.731551021
2.344392274,1.534052029,1.446810668,1.742192573,1.731365093
2.346352974,1.535319981,1.447813666,1.742065971,1.731192908
2.348304863,1.536620378,1.448716414,1.741944464,1.731082896
2.350248018,1.537912998,1.449570156,1.741842914,1.731044801
2.352182518,1.53922866,1.450420938,1.741773844,1.731078839
2.354108439,1.540545921,1.451265112,1.741732839,1.731221055
2.356025857,1.541822918,1.452108931,1.74172845,1.731502353
2.357934847,1.54306055,1.452953557,1.741756499,1.731849723
2.359835482,1.544316262,1.453764316,1.741834033,1.732247889
2.361727836,1.545567474,1.454598799,1.741951316,1.732698633
2.36361198,1.546780298,1.455403617,1.742146493,1.733170195
2.365487985,1.548031491,1.456207564,1.742390146,1.733691751
2.367355921,1.54927812,1.457052816,1.7426702,1.734249218
2.369215857,1.550513917,1.457874426,1.742990516,1.73488491
2.371067862,1.551717142,1.458746963,1.743398554,1.735557039
2.372912003,1.552950132,1.459710237,1.743853932,1.736243029
2.374748346,1.554136851,1.460738313,1.744399755,1.736946183
2.376576957,1.555365712,1.46172733,1.744974644,1.737666378
2.378397901,1.556614774,1.462665433,1.745572051,1.738403684
2.380211242,1.557899165,1.463517775,1.746233608,1.739179569
2.382017043,1.559197755,1.464310139,1.746950839,1.740018995
2.383815366,1.560457306,1.465173934,1.747683715,1.740916177
2.385606274,1.561706522,1.466084241,1.748437181,1.741839249
2.387389826,1.562898792,1.467081357,1.749236827,1.742794379
2.389166084,1.564084332,1.468070505,1.75009759,1.743766442
2.390935107,1.565246594,1.469011572,1.751007692,1.744773371
2.392696953,1.566421876,1.469929537,1.751943374,1.745783332
2.394451681,1.567640926,1.470818423,1.752897904,1.746829516
2.396199347,1.568870949,1.471679458,1.753876404,1.747913757
2.397940009,1.570040279,1.472520976,1.754866363,1.749030639
2.399673721,1.571223474,1.473408015,1.755868096,1.750166729
2.401400541,1.572401004,1.474232264,1.756853397,1.751325202
2.403120521,1.573568032,1.475041157,1.757824845,1.752497213
2.404833717,1.574752639,1.475826773,1.758834603,1.75370404
2.40654018,1.575938715,1.476633749,1.75993314,1.754977629
2.408239965,1.577073141,1.477429743,1.761057235,1.756328286
2.409933123,1.578198694,1.478267477,1.76217523,1.757757946
2.411619706,1.579371695,1.479167976,1.763283692,1.75922357
2.413299764,1.580515128,1.480045049,1.764391315,1.760694372
2.414973348,1.58168835,1.480927763,1.765492388,1.762206211
2.416640507,1.582884375,1.481769062,1.766600187,1.763752754
2.418301291,1.584103221,1.482614085,1.767739408,1.765317249
2.419955748,1.585261152,1.483435064,1.768887471,1.76687364
2.421603927,1.58642119,1.484304712,1.770038897,1.768422919
2.423245874,1.587566571,1.485240815,1.771173792,1.769955354
2.424881637,1.588719891,1.486234636,1.772330406,1.771492127
2.426511261,1.589848119,1.48727095,1.773485286,1.77301238
2.428134794,1.590982217,1.488302426,1.774635095,1.774501635
2.42975228,1.59212674,1.489365671,1.775759983,1.775985027
2.431363764,1.593295818,1.490415307,1.77686763,1.777442378
2.432969291,1.594508419,1.491506469,1.777980027,1.778885012
2.434568904,1.595730986,1.492613892,1.779069921,1.780319803
2.436162647,1.59692398,1.49376653,1.780131279,1.781730114
2.437750563,1.598035869,1.494989893,1.781183915,1.783132893
2.439332694,1.599191086,1.496243959,1.782218277,1.784584365
2.440909082,1.600308913,1.49746181,1.783243736,1.786082332
2.442479769,1.601526374,1.498636563,1.784263554,1.787605303
2.444044796,1.602708586,1.499761732,1.78529733,1.789139383
2.445604203,1.603902851,1.500913792,1.786358881,1.790655961
2.447158031,1.605099029,1.502066559,1.787426927,1.792148039
2.44870632,1.606261027,1.503213644,1.788472741,1.793608922
2.450249108,1.607354007,1.504324835,1.789513081,1.795037843
2.451786436,1.608447516,1.505416075,1.790534695,1.796423637
2.45331834,1.609527476,1.506582167,1.791533165,1.797770488
2.45484486,1.610607209,1.507690417,1.792525858,1.799075253
2.456366033,1.611672368,1.508774143,1.793519425,1.800344876
2.457881897,1.612757339,1.509847695,1.794487484,1.801569194
2.459392488,1.613828699,1.510949932,1.795474679,1.802779208
2.460897843,1.614921654,1.512042713,1.796470113,1.803985321
2.462397998,1.6160597,1.513195465,1.797452376,1.805163132
2.463892989,1.617194274,1.51444076,1.798410085,1.806326632
2.465382851,1.618374094,1.515796793,1.799341445,1.807460368
2.46686762,1.619548249,1.51716147,1.800257884,1.808553967
2.46834733,1.620710718,1.518508847,1.801145303,1.809613368
2.469822016,1.621869195,1.519825667,1.802002844,1.810630765
2.471291711,1.623058555,1.521169999,1.80284258,1.811617671
2.472756449,1.624192866,1.522506137,1.803675642,1.812572673
2.474216264,1.625318842,1.523806706,1.804517027,1.813522469
2.475671188,1.626440286,1.525144015,1.805334862,1.814477402
2.477121255,1.627522939,1.526439029,1.806131818,1.815424049
2.478566496,1.628646548,1.527715542,1.806894559,1.816343284
2.480006943,1.629775008,1.52893316,1.807629885,1.817256934
2.481442629,1.630913593,1.530113874,1.808343694,1.818150654
2.482873584,1.632073591,1.531352237,1.809061754,1.819003949
2.484299839,1.633237522,1.532580405,1.809769846,1.819816966
2.485721426,1.634397276,1.533848239,1.810468112,1.820593821
2.487138375,1.635517389,1.535103972,1.811149762,1.821340729
2.488550717,1.636636433,1.536364311,1.811804584,1.822079768
2.489958479,1.637769338,1.537602943,1.812434556,1.822803506
2.491361694,1.638901399,1.53884305,1.813040951,1.823511543
2.492760389,1.640039103,1.54006864,1.813640073,1.824202401
2.494154594,1.641221892,1.541312726,1.814239225,1.824865325
2.495544338,1.642430009,1.542585434,1.814840701,1.825513302
2.496929648,1.643716354,1.543829187,1.815431212,1.82614827
2.498310554,1.645047303,1.54508556,1.81600362,1.826771031
2.499687083,1.646353928,1.546346329,1.816554522,1.827366951
2.501059262,1.6476297,1.547572478,1.817090308,1.827942844
2.50242712,1.648890617,1.548781726,1.817605691,1.828505772
2.503790683,1.650178806,1.549990559,1.818108876,1.829049212
2.505149978,1.651421615,1.551217135,1.818599267,1.829589027
2.506505032,1.652677274,1.552403417,1.819071682,1.83012031
2.507855872,1.653963448,1.553592297,1.819520467,1.830625096
2.509202522,1.655243676,1.554785844,1.819942397,1.831107327
2.51054501,1.656490764,1.555941047,1.820334314,1.831568049
2.511883361,1.657737175,1.557111513,1.820700196,1.832014995
2.5132176,1.659002379,1.55829211,1.82103764,1.832461005
2.514547753,1.660267147,1.559462134,1.821351198,1.832886462
2.515873844,1.661503564,1.560565571,1.821642475,1.833285142
2.517195898,1.662700551,1.561654464,1.821910842,1.833687901
2.51851394,1.663851015,1.562731337,1.82215285,1.834089993
2.519827994,1.665031746,1.563797389,1.822372301,1.834493258
2.521138084,1.666194075,1.564854673,1.822586238,1.834905899
2.522444234,1.667320053,1.565973292,1.822784222,1.835344301
2.523746467,1.668463016,1.567095806,1.822963884,1.835811043
2.525044807,1.669591508,1.568175413,1.823135894,1.836319792
2.526339277,1.670662455,1.569238625,1.823317064,1.836855144
2.527629901,1.671712539,1.570289986,1.823493774,1.83738969
2.5289167,1.672760124,1.571331838,1.823671767,1.837916477
2.530199698,1.673781798,1.572367442,1.82383921,1.838449054
2.531478917,1.674743978,1.57338631,1.823993999,1.838986284
2.532754379,1.675706045,1.574335632,1.82414311,1.839515121
2.534026106,1.676679496,1.575255592,1.824283229,1.840040608
2.53529412,1.677612072,1.57616833,1.824405273,1.840566953
2.536558443,1.678552503,1.577083556,1.824520089,1.841080769
2.537819095,1.679548692,1.578006115,1.824634033,1.841589676
2.539076099,1.680535884,1.578957918,1.82473877,1.842091549
2.540329475,1.681476579,1.579892418,1.824855092,1.842584935
2.541579244,1.682409658,1.580845889,1.824988775,1.843077796
2.542825427,1.683354703,1.581807148,1.825134878,1.843586631
2.544068044,1.684286267,1.582808489,1.825279176,1.844118731
2.545307116,1.685173345,1.583833231,1.825411873,1.844652022
2.546542663,1.686101091,1.584951007,1.82553926,1.845207583
2.547774705,1.687009148,1.586017946,1.825661865,1.845782399
2.549003262,1.687893785,1.587071536,1.825779273,1.846362625
2.550228353,1.68880349,1.58812735,1.82589379,1.846961473
2.551449998,1.689755041,1.589182122,1.825999265,1.847583468
2.552668216,1.690735645,1.590155815,1.826114464,1.848214932
2.553883027,1.69179182,1.591150738,1.82624629,1.848856973
2.555094449,1.692886759,1.592124437,1.826384903,1.849516551
2.556302501,1.693941086,1.593051666,1.8265455,1.850179063
2.557507202,1.694984608,1.59393796,1.826720614,1.850852656
2.558708571,1.696039872,1.594874932,1.826914805,1.851541323
2.559906625,1.697086119,1.595784522,1.827119423,1.852236079
2.561101384,1.698147104,1.596708096,1.827340115,1.852938588
2.562292864,1.699272832,1.597606429,1.827612125,1.853663131
2.563481085,1.700363946,1.598532035,1.827951437,1.854400831
2.564666064,1.701435566,1.599502983,1.828323314,1.855166327
2.565847819,1.702472285,1.600436991,1.82872824,1.855949226
2.567026366,1.703512948,1.601380341,1.829173171,1.856765467
2.568201724,1.704533438,1.602362388,1.829639263,1.857620291
2.56937391,1.705601359,1.603380186,1.830118264,1.858509394
2.57054294,1.706634599,1.604366716,1.830595801,1.859398712
2.571708832,1.70764216,1.60536659,1.831098342,1.860290783
2.572871602,1.708651975,1.606342445,1.831626051,1.861187794
2.574031268,1.709643845,1.607323474,1.832170482,1.862098757
2.575187845,1.710626108,1.608292618,1.832724651,1.863026225
2.57634135,1.711589183,1.609286066,1.833325679,1.863974085
2.5774918,1.712612894,1.610305084,1.833949306,1.864936183
2.57863921,1.713628595,1.61133543,1.83467403,1.86592229
2.579783597,1.714648293,1.6124349,1.835458024,1.866954531
2.580924976,1.715675355,1.613555317,1.836275422,1.868015054
2.582063363,1.716660896,1.614715793,1.837123394,1.869069892
2.583198774,1.717636086,1.615885236,1.837985008,1.870117932
2.584331224,1.7185944,1.617078457,1.838837097,1.871167802
2.58546073,1.719534069,1.618249588,1.839674481,1.872225208
2.586587305,1.72052227,1.619386726,1.840509568,1.873289101
2.587710965,1.721502744,1.620591832,1.84134519,1.874350092
2.588831726,1.722489451,1.621791649,1.84219072,1.875407666
2.589949601,1.723442219,1.622991799,1.843050313,1.876448931
2.591064607,1.724407268,1.624124887,1.843911009,1.877477713
2.592176757,1.725369438,1.625243705,1.84478022,1.878490341
2.593286067,1.726335143,1.626368467,1.845654293,1.879506095
2.59439255,1.727297333,1.627421711,1.846537253,1.88051312
2.595496222,1.728273682,1.628499923,1.847433388,1.881504827
2.596597096,1.729225496,1.62959791,1.848348472,1.882491682
2.597695186,1.730159427,1.630701018,1.849265954,1.883464779
2.598790507,1.731070471,1.631758472,1.85018744,1.884417965
2.599883072,1.731969211,1.632808222,1.851116735,1.885362998
2.600972896,1.732906264,1.633916762,1.852081959,1.886293365
2.602059991,1.733873372,1.635076054,1.853044328,1.887209394
2.603144373,1.734851384,1.636197386,1.854004038,1.888108267
2.604226053,1.735810436,1.637290362,1.854945036,1.888996367
2.605305046,1.736796026,1.638361549,1.85587234,1.889881376
2.606381365,1.737766351,1.639391939,1.856779174,1.890771232
2.607455023,1.738712559,1.640399319,1.857672912,1.891651978
2.608526034,1.739692658,1.641401059,1.858541686,1.892539568
2.609594409,1.740668571,1.642456801,1.859406614,1.893433392
2.610660163,1.741677323,1.643465971,1.860272509,1.894326266
2.611723308,1.742723986,1.644473502,1.861125907,1.895213516
2.612783857,1.743743334,1.645481964,1.86196514,1.896110659
2.613841822,1.744776623,1.646504681,1.86278863,1.897026538
2.614897216,1.745801194,1.647466196,1.863621006,1.897963076
2.615950052,1.746788297,1.64843937,1.864460714,1.898934403
2.617000341,1.74779662,1.649406381,1.865312731,1.899935023
2.618048097,1.748802156,1.650357607,1.866155364,1.900953661
2.619093331,1.749841596,1.651329888,1.86701278,1.901980292
2.620136055,1.750828581,1.652276062,1.86787101,1.903016295
2.621176282,1.751797585,1.653186152,1.868720081,1.904047371
2.622214023,1.752765211,1.654054847,1.869558387,1.905076759
2.62324929,1.75377737,1.654898402,1.870401091,1.90610171
2.624282096,1.754852148,1.655755198,1.871254736,1.90710871
2.625312451,1.7558963,1.656620659,1.872111154,1.908107755
2.626340367,1.756987051,1.657486008,1.872982751,1.909093713
2.627365857,1.758033577,1.6583429,1.873851155,1.910059118
2.62838893,1.759039671,1.65918554,1.874710157,1.911001705
2.629409599,1.760028226,1.660015912,1.875563555,1.911928713
2.630427875,1.761018955,1.660848746,1.87640272,1.912846238
2.631443769,1.762002968,1.661689181,1.87723571,1.91374124
2.632457292,1.762986087,1.662531632,1.878067117,1.914618534
2.633468456,1.764015192,1.663396533,1.878877302,1.915476603
2.63447727,1.765020124,1.664268086,1.879665248,1.916314246
2.635483747,1.765979911,1.665184296,1.880443915,1.917135337
2.636487896,1.766924307,1.666103488,1.881200789,1.917942576
2.63748973,1.767852215,1.667001682,1.88194443,1.91874339
2.638489257,1.768772496,1.667927188,1.88267468,1.919546119
2.639486489,1.769702164,1.668846961,1.883384347,1.920348939
2.640481437,1.770626611,1.669763672,1.884075581,1.921143361
2.641474111,1.771561823,1.670683885,1.884760423,1.921921804
2.64246452,1.772480661,1.671589079,1.885440114,1.922685951
2.643452676,1.773397283,1.672487883,1.886115673,1.923438427
2.644438589,1.774305138,1.673393956,1.88678433,1.924184878
2.645422269,1.775226578,1.674290973,1.887440042,1.924921155
2.646403726,1.77618282,1.675170668,1.888076504,1.925647324
2.64738297,1.777120473,1.676022516,1.888706213,1.926354725
2.648360011,1.778010092,1.676862847,1.889322095,1.927045072
2.649334859,1.778894737,1.677719878,1.889911559,1.927731875
2.650307523,1.779764027,1.678595754,1.890475923,1.928407378
2.651278014,1.780661868,1.679507717,1.891020888,1.929065294
2.652246341,1.78152293,1.680438329,1.891549191,1.9297085
2.653212514,1.782400213,1.681395528,1.892057299,1.930334767
2.654176542,1.783274337,1.682360537,1.892550961,1.930948738
2.655138435,1.784136139,1.683330943,1.893024107,1.931550891
2.656098202,1.78500937,1.684356291,1.893480899,1.932136033
2.657055853,1.785884163,1.685398046,1.893929969,1.932703954
2.658011397,1.786759833,1.686445186,1.894371625,1.933258133
2.658964843,1.787641363,1.687479698,1.894794454,1.933794931
2.6599162,1.788546572,1.688525273,1.895203512,1.934319658
2.660865478,1.789446295,1.689554069,1.895595181,1.934842271
2.661812686,1.790350379,1.690558326,1.895957314,1.935367689
2.662757832,1.791239187,1.69156642,1.896308043,1.935885395
2.663700925,1.792133149,1.69254499,1.896652439,1.936381418
2.664641976,1.792991233,1.693496892,1.896981476,1.93687754
2.665580991,1.793855653,1.694441754,1.89730225,1.9373714
2.666517981,1.794781806,1.695378918,1.897622275,1.937854782
2.667452953,1.795712316,1.696312052,1.897922447,1.938330874
2.668385917,1.796642157,1.697226416,1.898206383,1.938794614
2.669316881,1.797529393,1.698135356,1.898479426,1.939245314
2.670245853,1.798408715,1.699032354,1.898730875,1.93967981
2.671172843,1.799265003,1.699916001,1.898974341,1.940101013
2.672097858,1.800137745,1.700778084,1.89921719,1.940514097
2.673020907,1.800997625,1.701620319,1.899448243,1.94091228
2.673941999,1.80188094,1.702461243,1.899673206,1.941295009
2.674861141,1.802809018,1.70330942,1.899883943,1.941668576
